user_name,user_id,state
Chloe Flores,U157612,active
Sophia Cook,U938803,deleted
Chloe Rogers,U144991,deleted
Aiden Morris,U556850,deleted
William Baker,U533030,active
Abigail Harris,U837978,deleted
Aiden Allen,U288161,deleted
Isabella Watson,U295426,deleted
Alexander Bell,U617555,active
Madison Thomas,U934579,active
William Phillips,U833377,deleted
Jayden Murphy,U472423,active
Emma King,U215381,active
Mia Mitchell,U891624,active
Emma Green,U358693,active
Ethan Morris,U957176,active
Noah Adams,U963617,active
Michael Parker,U266829,active
Sophia Thompson,U266217,deleted
Sophia Morgan,U153712,active
Anthony Watson,U819537,active
Ethan Hughes,U948417,active
Chloe Barnes,U119052,deleted
Ava Turner,U877257,active
Noah Hern,U176749,active
Madison Jackson,U522793,active
Madison Moore,U700516,active
Emma Stewart,U476616,deleted
Sophia Watson,U189100,active
