Student,ID,Section,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Quiz 6,Quiz 7,Quiz 8,Quiz 9,Paper 1,Paper 2,Paper 3,Final Exam,Attendance 1,Attendance 2
Points Possible,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"Ball, Lucille",13,My Course,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Blend, Bill",8,My Course,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Cole, Jacqueline",10,My Course,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Farner, Todd",6,My Course,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Gobesby, Heather",7,My Course,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Miller, Arthur",3,My Course,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Mills, Stacy",5,My Course,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Moore, Michael",9,My Course,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ricardo, David",11,My Course,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ricardo, Ricky",12,My Course,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Robesby, William",4,My Course,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Shunpike, Morgan",2,My Course,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Shunpike, Stanley",1,My Course,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Student, New",8,My Course,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"Student, Another",9,My Course,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
